,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fz,0.06292352371732816,0.0,0.0,0.0,0.06389157792836399,0.06389157792836399,0.05421103581800581,0.0,0.03484995159728945,0.0,0.0,0.06389157792836399,0.0,0.0,0.06098741529525654,0.023233301064859633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057115198451113264,0.0,0.031945788964181994,0.021297192642787996,0.0,0.0,0.0,0.0,0.0,0.05227492739593417,0.04743465634075508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06098741529525654,0.0,0.0,0.0,0.05421103581800581,0.0,0.061955469506292354,0.0,0.0,0.0,0.041626331074540175,0.0,0.0,0.0,0.0,0.05808325266214908,0.0,0.0,0.05421103581800581,0.030977734753146177
F3,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.08,0.0,0.0,0.16,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC5,0.06309751434034416,0.0,0.0,0.0,0.06596558317399617,0.06692160611854685,0.05353728489483748,0.0,0.03441682600382409,0.0,0.0,0.06596558317399617,0.0,0.0,0.06022944550669216,0.022944550669216062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05640535372848948,0.0,0.03154875717017208,0.021032504780114723,0.0,0.0,0.0,0.0,0.0,0.05162523900573614,0.04684512428298279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621414913957935,0.0,0.0,0.0,0.05353728489483748,0.0,0.06118546845124283,0.0,0.0,0.0,0.04110898661567878,0.0,0.0,0.0,0.0,0.05736137667304015,0.0,0.0,0.05353728489483748,0.030592734225621414
FC1,0.06273764258555133,0.0,0.0,0.0,0.06653992395437262,0.06939163498098859,0.053231939163498096,0.0,0.034220532319391636,0.0,0.0,0.06653992395437262,0.0,0.0,0.05988593155893536,0.022813688212927757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05608365019011407,0.0,0.03136882129277566,0.02091254752851711,0.0,0.0,0.0,0.0,0.0,0.051330798479087454,0.04657794676806084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06273764258555133,0.0,0.0,0.0,0.053231939163498096,0.0,0.060836501901140684,0.0,0.0,0.0,0.0408745247148289,0.0,0.0,0.0,0.0,0.057034220532319393,0.0,0.0,0.053231939163498096,0.030418250950570342
C3,0.05827263267429761,0.0,0.0,0.0,0.05827263267429761,0.05827263267429761,0.05723204994797086,0.0,0.037460978147762745,0.0,0.0,0.05827263267429761,0.0,0.0,0.05827263267429761,0.02497398543184183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05723204994797086,0.0,0.03433922996878252,0.022892819979188347,0.0,0.0,0.0,0.0,0.0,0.05619146722164412,0.05098855359001041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05827263267429761,0.0,0.0,0.0,0.05723204994797086,0.0,0.05827263267429761,0.0,0.0,0.0,0.044745057232049947,0.0,0.0,0.0,0.0,0.05827263267429761,0.0,0.0,0.05723204994797086,0.03329864724245578
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.052478134110787174,0.0,0.0,0.0,0.052478134110787174,0.052478134110787174,0.052478134110787174,0.0,0.05102040816326531,0.0,0.0,0.052478134110787174,0.0,0.0,0.052478134110787174,0.03498542274052478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052478134110787174,0.0,0.048104956268221574,0.03206997084548105,0.0,0.0,0.0,0.0,0.0,0.052478134110787174,0.052478134110787174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052478134110787174,0.0,0.0,0.0,0.052478134110787174,0.0,0.052478134110787174,0.0,0.0,0.0,0.052478134110787174,0.0,0.0,0.0,0.0,0.052478134110787174,0.0,0.0,0.052478134110787174,0.04664723032069971
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.06309751434034416,0.0,0.0,0.0,0.06596558317399617,0.06692160611854685,0.05353728489483748,0.0,0.03441682600382409,0.0,0.0,0.06596558317399617,0.0,0.0,0.06022944550669216,0.022944550669216062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05640535372848948,0.0,0.03154875717017208,0.021032504780114723,0.0,0.0,0.0,0.0,0.0,0.05162523900573614,0.04684512428298279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621414913957935,0.0,0.0,0.0,0.05353728489483748,0.0,0.06118546845124283,0.0,0.0,0.0,0.04110898661567878,0.0,0.0,0.0,0.0,0.05736137667304015,0.0,0.0,0.05353728489483748,0.030592734225621414
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0618860510805501,0.0,0.0,0.0,0.0618860510805501,0.0618860510805501,0.0550098231827112,0.0,0.03536345776031434,0.0,0.0,0.0618860510805501,0.0,0.0,0.060903732809430254,0.023575638506876228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05697445972495088,0.0,0.03241650294695481,0.021611001964636542,0.0,0.0,0.0,0.0,0.0,0.05304518664047151,0.0481335952848723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060903732809430254,0.0,0.0,0.0,0.0550098231827112,0.0,0.0618860510805501,0.0,0.0,0.0,0.04223968565815324,0.0,0.0,0.0,0.0,0.05893909626719057,0.0,0.0,0.0550098231827112,0.03143418467583497
Oz,0.05063291139240506,0.0,0.0,0.0,0.05063291139240506,0.05063291139240506,0.05063291139240506,0.0,0.05063291139240506,0.0,0.0,0.05063291139240506,0.0,0.0,0.05063291139240506,0.04852320675105485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.0,0.05063291139240506,0.04008438818565401,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.0,0.0,0.0,0.05063291139240506,0.0,0.05063291139240506,0.0,0.0,0.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.05063291139240506,0.0,0.0,0.05063291139240506,0.05063291139240506
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
