timestamp,bankssts-lh,bankssts-rh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,cuneus-lh,cuneus-rh,entorhinal-lh,entorhinal-rh,frontalpole-lh,frontalpole-rh,fusiform-lh,fusiform-rh,inferiorparietal-lh,inferiorparietal-rh,inferiortemporal-lh,inferiortemporal-rh,insula-lh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-lh,lateraloccipital-rh,lateralorbitofrontal-lh,lateralorbitofrontal-rh,lingual-lh,lingual-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,middletemporal-lh,middletemporal-rh,paracentral-lh,paracentral-rh,parahippocampal-lh,parahippocampal-rh,parsopercularis-lh,parsopercularis-rh,parsorbitalis-lh,parsorbitalis-rh,parstriangularis-lh,parstriangularis-rh,pericalcarine-lh,pericalcarine-rh,postcentral-lh,postcentral-rh,posteriorcingulate-lh,posteriorcingulate-rh,precentral-lh,precentral-rh,precuneus-lh,precuneus-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh,temporalpole-lh,temporalpole-rh,transversetemporal-lh,transversetemporal-rh
0,-0.0516879,0.0412454,0.429862,0.337582,0.0483446,0.161899,0.0863206,0.0915565,0.353116,0.0643029,0.332886,0.449844,0.563185,0.203414,0.150842,0.153909,0.117634,0.0304757,0.319053,0.354861,0.167103,0.387965,0.214475,0.219991,0.348623,0.168488,0.293454,0.092916,0.330991,0.114906,-0.100415,0.0346636,0.127715,0.373185,0.421343,0.257932,0.0180115,0.0878626,0.138958,-0.0714903,0.0450811,0.205029,0.11986,0.0592755,0.0172011,0.0301403,0.147246,0.252171,0.0314707,0.0896532,0.154925,0.166311,0.323883,0.35281,0.292675,0.196205,0.05403,-0.0880978,0.202051,0.201888,0.0687961,-0.00112572,0.0293936,0.0603788,0.177354,0.075421,0.0407555,0.203009
0.000999984,-0.054716,0.0414082,0.429026,0.336989,0.0490755,0.161709,0.0864259,0.0921455,0.355846,0.0646986,0.335915,0.455045,0.566856,0.204252,0.150937,0.154143,0.119384,0.0307877,0.32357,0.355203,0.167876,0.391003,0.214362,0.22085,0.350701,0.16831,0.29586,0.0937137,0.333563,0.116672,-0.102052,0.0348413,0.128432,0.372467,0.425023,0.259544,0.0180214,0.0874769,0.139749,-0.0717241,0.0454727,0.204959,0.119598,0.059723,0.0169709,0.0304522,0.147313,0.252869,0.0313904,0.0896593,0.154772,0.167387,0.325649,0.35365,0.293879,0.195727,0.0538629,-0.0879158,0.201271,0.202462,0.0682332,-0.00109071,0.0300119,0.0599054,0.178068,0.0757325,0.040848,0.203559
0.00199997,-0.0577323,0.0415658,0.428171,0.336385,0.0498189,0.161508,0.0865367,0.0927312,0.358565,0.0650951,0.338931,0.460245,0.570503,0.205086,0.151026,0.154367,0.12113,0.031101,0.328154,0.355552,0.168649,0.394035,0.214251,0.221697,0.352769,0.168143,0.298254,0.0945098,0.336127,0.118488,-0.103683,0.0350164,0.129156,0.371728,0.428689,0.261151,0.0180298,0.0870859,0.140535,-0.0719507,0.0458662,0.204879,0.11935,0.0601623,0.0167348,0.0307648,0.147375,0.253563,0.0313082,0.0896629,0.154619,0.168461,0.327426,0.354503,0.295078,0.19524,0.0536919,-0.0877257,0.20049,0.203025,0.0676947,-0.0010495,0.0306364,0.0594252,0.178775,0.0760761,0.0409722,0.204077
0.00299995,-0.060737,0.0417182,0.427298,0.335771,0.0505739,0.161298,0.0866532,0.0933134,0.361274,0.065492,0.341933,0.465444,0.574126,0.205915,0.151108,0.154581,0.122871,0.0314155,0.332801,0.355909,0.169422,0.397059,0.214141,0.222532,0.354827,0.167986,0.300637,0.0953031,0.338683,0.120353,-0.105309,0.0351889,0.129887,0.370969,0.432341,0.262755,0.0180367,0.0866896,0.141318,-0.0721702,0.0462614,0.204791,0.119115,0.0605933,0.0164929,0.0310781,0.147432,0.254252,0.0312238,0.0896638,0.154469,0.169532,0.329213,0.355367,0.296271,0.194744,0.0535171,-0.0875274,0.199708,0.203576,0.0671815,-0.00100178,0.0312671,0.0589389,0.179475,0.0764522,0.0411301,0.204562
0.00399993,-0.06373,0.0418654,0.426407,0.335146,0.0513394,0.161079,0.0867753,0.0938921,0.363971,0.0658891,0.344921,0.47064,0.577726,0.206739,0.151184,0.154785,0.124606,0.0317312,0.337506,0.356273,0.170194,0.400076,0.214033,0.223356,0.356874,0.167841,0.303008,0.0960923,0.341231,0.122267,-0.10693,0.0353588,0.130625,0.370189,0.435979,0.264355,0.018042,0.086288,0.142097,-0.0723826,0.0466584,0.204693,0.118893,0.061016,0.0162455,0.0313919,0.147484,0.254938,0.031137,0.0896621,0.154326,0.170601,0.331011,0.356244,0.297459,0.194238,0.0533385,-0.0873208,0.198925,0.204116,0.0666944,-0.000947212,0.0319036,0.0584471,0.180168,0.0768607,0.0413236,0.205015
0.00499992,-0.0667115,0.0420076,0.425499,0.33451,0.0521143,0.16085,0.0869033,0.0944674,0.366658,0.066286,0.347894,0.475832,0.581302,0.207558,0.151254,0.154978,0.126336,0.0320482,0.342261,0.356644,0.170966,0.403085,0.213926,0.224167,0.358911,0.167707,0.305367,0.0968768,0.34377,0.124227,-0.108545,0.035526,0.131371,0.369389,0.439603,0.26595,0.0180458,0.0858812,0.142871,-0.0725878,0.047057,0.204585,0.118685,0.0614304,0.0159927,0.0317058,0.147531,0.25562,0.0310475,0.0896576,0.154193,0.171667,0.332819,0.357133,0.29864,0.193723,0.0531564,-0.0871059,0.198142,0.204645,0.0662345,-0.000885461,0.0325458,0.0579505,0.180854,0.0773014,0.0415544,0.205436
0.0059999,-0.0696814,0.0421446,0.424574,0.333864,0.0528979,0.160611,0.087037,0.0950392,0.369334,0.0666826,0.350853,0.48102,0.584854,0.208371,0.151317,0.155162,0.128061,0.0323665,0.347062,0.357023,0.171738,0.406085,0.213822,0.224965,0.360937,0.167586,0.307715,0.0976567,0.346301,0.126232,-0.110155,0.0356906,0.132122,0.368569,0.443212,0.26754,0.0180478,0.0854693,0.143641,-0.0727858,0.0474571,0.204469,0.118489,0.0618363,0.0157346,0.0320198,0.147572,0.256298,0.030955,0.0896503,0.154067,0.172731,0.334637,0.358035,0.299816,0.193198,0.0529709,-0.0868825,0.197358,0.205162,0.0658027,-0.000816212,0.033193,0.05745,0.181533,0.0777732,0.0418233,0.205827
0.00699988,-0.0726396,0.0422766,0.423632,0.333209,0.0536892,0.160363,0.0871766,0.0956074,0.371998,0.0670786,0.353796,0.486203,0.588382,0.20918,0.151373,0.155335,0.129781,0.0326859,0.351903,0.357408,0.172509,0.409077,0.213719,0.225751,0.362952,0.167476,0.31005,0.0984325,0.348822,0.12828,-0.111758,0.0358525,0.13288,0.367729,0.446806,0.269126,0.0180481,0.0850524,0.144407,-0.0729766,0.0478588,0.204343,0.118306,0.0622338,0.0154716,0.0323336,0.147609,0.256972,0.0308593,0.0896402,0.153944,0.173791,0.336466,0.358949,0.300986,0.192665,0.0527819,-0.0866505,0.196573,0.205668,0.0653999,-0.000739187,0.0338446,0.0569463,0.182205,0.0782752,0.042131,0.206187
0.00799987,-0.0755858,0.0424036,0.422673,0.332543,0.0544875,0.160106,0.0873222,0.0961721,0.374651,0.0674739,0.356724,0.491379,0.591885,0.209984,0.151424,0.155497,0.131495,0.0330066,0.35678,0.357801,0.173279,0.41206,0.213619,0.226525,0.364957,0.167379,0.312373,0.099205,0.351334,0.130368,-0.113357,0.0360116,0.133643,0.366869,0.450386,0.270707,0.0180466,0.0846306,0.145169,-0.0731601,0.0482618,0.204208,0.118136,0.0626228,0.0152039,0.0326472,0.147641,0.257642,0.0307603,0.089627,0.153824,0.174848,0.338303,0.359875,0.30215,0.192123,0.0525897,-0.0864099,0.195788,0.206163,0.0650271,-0.000654157,0.0345001,0.0564401,0.182869,0.0788061,0.0424775,0.206517
0.00899985,-0.0785198,0.0425256,0.421698,0.331869,0.055292,0.159839,0.0874739,0.0967331,0.377292,0.0678682,0.359636,0.496549,0.595364,0.210782,0.151468,0.155649,0.133203,0.0333285,0.361688,0.3582,0.174048,0.415033,0.213521,0.227286,0.36695,0.167294,0.314683,0.0999749,0.353836,0.132496,-0.114949,0.0361679,0.134411,0.365988,0.45395,0.272283,0.0180433,0.084204,0.145926,-0.0733365,0.0486661,0.204063,0.117979,0.0630032,0.0149317,0.0329608,0.147668,0.258308,0.0306581,0.0896109,0.153708,0.175903,0.340151,0.360815,0.303308,0.191571,0.0523943,-0.0861606,0.195003,0.206646,0.064685,-0.000560957,0.0351585,0.0559323,0.183527,0.0793644,0.0428622,0.206817
0.00999984,-0.0814415,0.0426427,0.420707,0.331185,0.0561022,0.159563,0.0876317,0.0972905,0.379922,0.0682615,0.362533,0.501711,0.598818,0.211574,0.151506,0.15579,0.134906,0.0336516,0.366625,0.358606,0.174815,0.417996,0.213426,0.228034,0.368932,0.167221,0.316982,0.100743,0.356329,0.134662,-0.116535,0.0363214,0.135183,0.365088,0.457499,0.273854,0.018038,0.0837725,0.146679,-0.0735057,0.0490716,0.203909,0.117834,0.063375,0.0146555,0.0332746,0.14769,0.258971,0.0305526,0.0895916,0.153596,0.176954,0.342007,0.361767,0.30446,0.191011,0.0521958,-0.0859026,0.194218,0.207118,0.0643742,-0.000459484,0.035819,0.0554236,0.184178,0.079949,0.043284,0.207088
0.0109998,-0.0843504,0.042755,0.4197,0.330492,0.0569173,0.159278,0.0877958,0.0978442,0.382539,0.0686536,0.365413,0.506864,0.602248,0.212362,0.151538,0.155921,0.136603,0.033976,0.371587,0.359019,0.175582,0.42095,0.213334,0.22877,0.370903,0.167161,0.319268,0.101509,0.358811,0.136864,-0.118116,0.036472,0.13596,0.364168,0.461033,0.275419,0.0180307,0.0833364,0.147427,-0.0736676,0.0494783,0.203746,0.117701,0.0637381,0.0143754,0.0335892,0.147708,0.259631,0.030444,0.0895692,0.153489,0.178001,0.343873,0.362733,0.305606,0.190442,0.0519945,-0.0856358,0.193433,0.207579,0.0640954,-0.000349693,0.0364806,0.0549149,0.184822,0.0805587,0.0437415,0.207329
0.0119998,-0.0872464,0.0428625,0.418677,0.329791,0.057737,0.158984,0.0879662,0.0983942,0.385145,0.0690444,0.368276,0.512008,0.605653,0.213143,0.151564,0.15604,0.138294,0.0343015,0.376573,0.359439,0.176347,0.423894,0.213244,0.229492,0.372862,0.167113,0.321542,0.102273,0.361283,0.139101,-0.11969,0.0366198,0.13674,0.363228,0.464552,0.276979,0.0180215,0.0828956,0.14817,-0.0738223,0.0498861,0.203574,0.117581,0.0640926,0.014092,0.033905,0.147721,0.260286,0.0303324,0.0895435,0.153388,0.179045,0.345748,0.363711,0.306747,0.189865,0.0517903,-0.0853601,0.192648,0.208028,0.0638488,-0.000231582,0.0371422,0.054407,0.185458,0.0811928,0.0442329,0.207541
0.0129998,-0.0901289,0.0429653,0.41764,0.329081,0.0585608,0.15868,0.088143,0.0989405,0.387739,0.0694338,0.371123,0.517142,0.609033,0.213919,0.151585,0.156149,0.139979,0.0346283,0.38158,0.359864,0.177111,0.426826,0.213158,0.230202,0.374809,0.167076,0.323803,0.103036,0.363744,0.141371,-0.121258,0.0367646,0.137524,0.362269,0.468054,0.278532,0.0180101,0.0824504,0.148909,-0.0739697,0.0502949,0.203392,0.117472,0.0644384,0.0138055,0.0342227,0.14773,0.260939,0.0302177,0.0895146,0.153295,0.180085,0.347631,0.364702,0.307881,0.189278,0.0515834,-0.0850756,0.191863,0.208465,0.0636346,-0.000105177,0.0378029,0.0539006,0.186088,0.0818507,0.044756,0.207725
0.0139998,-0.0929977,0.0430634,0.416588,0.328363,0.0593882,0.158368,0.0883264,0.099483,0.39032,0.0698217,0.373953,0.522265,0.612387,0.214689,0.151599,0.156247,0.141658,0.0349562,0.386605,0.360296,0.177874,0.429749,0.213075,0.230898,0.376744,0.167051,0.326052,0.103798,0.366194,0.143675,-0.12282,0.0369065,0.13831,0.36129,0.471542,0.280081,0.0179966,0.0820008,0.149643,-0.07411,0.0507046,0.2032,0.117375,0.0647755,0.013516,0.0345429,0.147734,0.261587,0.0301003,0.0894823,0.153212,0.181122,0.349523,0.365705,0.309009,0.188683,0.0513739,-0.0847821,0.191079,0.208891,0.0634529,2.94802e-05,0.0384614,0.0533963,0.186711,0.0825323,0.0453088,0.20788
0.0149998,-0.0958522,0.0431569,0.415522,0.327637,0.0602189,0.158046,0.0885165,0.100022,0.392889,0.0702079,0.376765,0.527376,0.615717,0.215453,0.151608,0.156334,0.143331,0.0352854,0.391647,0.360734,0.178634,0.43266,0.212995,0.231581,0.378667,0.167037,0.328288,0.104558,0.368633,0.14601,-0.124375,0.0370453,0.139099,0.360291,0.475013,0.281622,0.0179809,0.0815468,0.150373,-0.074243,0.0511152,0.203,0.117291,0.0651038,0.0132238,0.0348659,0.147733,0.262233,0.02998,0.0894467,0.153141,0.182154,0.351423,0.366722,0.310132,0.18808,0.051162,-0.0844795,0.190296,0.209306,0.0633035,0.000172344,0.0391167,0.052895,0.187326,0.0832375,0.045889,0.208008
